Query,Latency (s),CPU Usage (%),Peak Memory Usage (MB),Average Memory Usage (MB),IOPS (ops/s)
68,0.019580098664543282,493.4358614875461,1550.76171875,1550.76171875,306.6402066530891
69,0.021359326327607658,671.4648609569799,1549.5846354166667,1549.5846354166667,281.1136345417737
70,0.021844401004879426,900.1798859441387,1549.9479166666667,1549.9479166666667,274.7008553825952
71,0.01904678233161879,404.7733245802413,1550.203125,1550.203125,319.07527562970125
72,0.038431609000933044,399.1967150744344,1550.1354166666667,1550.1354166666667,156.15582804333488
73,0.013009396672714502,565.5233816482192,1550.31640625,1550.31640625,461.83995984548284
74,0.09438434433347236,433.8476039023212,1595.3893229166667,1573.5703125,67.06416989014046
75,0.04314535000594333,665.107631664226,1552.6184895833333,1552.6184895833333,139.26298629799408
76,0.011920759667797634,894.8577161012882,1551.0299479166667,1551.0299479166667,503.9301021755543
77,0.011774138013909882,651.6606799095237,1550.6302083333333,1550.6302083333333,509.6640321716643
78,0.05797721200118152,983.0755862556283,1551.7239583333333,1551.7239583333333,103.49889505679435
79,0.019544410664821044,664.7682439262336,1551.0338541666667,1551.0338541666667,307.1844105634411
80,0.02894920600616994,703.0841890695305,1551.3658854166667,1551.3658854166667,207.363520651189
81,0.03206656366819516,238.42660018301135,1551.6731770833333,1551.6731770833333,187.3545729515694
82,0.004383832002834727,299.3116352356903,1550.3880208333333,1550.3880208333333,1372.82047532262
83,0.011337279002570236,354.51604115180595,1550.7044270833333,1550.7044270833333,531.7740617277468
84,0.010291760001564398,291.79681730649213,1551.0716145833333,1551.0716145833333,583.5936346129621
85,0.027200737677048892,367.6447190496495,1550.8307291666667,1550.8307291666667,220.5868314297918
86,0.017328925663605332,461.98072111818084,1551.140625,1551.140625,346.485540838643
87,0.03579602800891735,707.8839718574472,1552.9856770833333,1552.9856770833333,168.0353633959763
88,0.022994136680305626,855.2972719071455,1552.9544270833333,1552.9544270833333,260.9864760713087
89,0.018145510005221393,698.2076992123319,1551.90625,1551.90625,331.1276577435993
90,0.00546374101152954,487.9398398992976,1551.2734375,1551.2734375,1098.583160932525
91,0.012401466665323824,564.8676399229499,1551.2682291666667,1551.2682291666667,484.1722627910818
92,0.008434658996217573,277.5054653606897,1551.3619791666667,1551.3619791666667,712.1301538256048
93,0.014953381013280401,199.04649128441176,1550.7096354166667,1550.7096354166667,401.78024012844645
94,0.012753227997260788,286.82355469787706,1551.12109375,1551.12109375,470.9414861381397
95,0.10728913033381104,373.17801301695573,1609.69140625,1580.6100260416667,65.2940522579742
96,0.004559305671136826,585.8466270976959,1551.4583333333333,1551.4583333333333,1323.6891964921708
97,0.03250028500527454,625.8435938084766,1551.359375,1551.359375,184.80254030941379
98,0.022402924999672297,447.1078684272773,1552.8333333333333,1552.8333333333333,267.9085879317675
99,0.02516280899484021,317.36201601039414,1553.7369791666667,1553.7369791666667,239.39778908838628
