Query,Latency (s),CPU Usage (%),Peak Memory Usage (MB),Average Memory Usage (MB),IOPS (ops/s)
35,0.7052709210001922,515.7031455656341,10891.643229166666,10844.3134765625,5891.265550220133
36,0.912998776000677,708.6499072912769,10720.66015625,10698.955642361112,7103.7014245305
37,1.7172216356672532,539.5424441707002,10585.30859375,10468.59775390625,10263.548870475579
38,0.9300065393332867,590.0599817709414,10686.12890625,10565.51937210648,4847.157359601167
39,22.69784537400119,764.4337915824552,10485.734375,10340.052569444444,3456.0989691935456
40,1.0621880639998078,737.161994369248,10338.44140625,10323.022330729167,3325.873909787921
41,0.05242463600006886,209.05292622704064,10238.62890625,10238.62890625,1574.8497941355524
42,0.336398698999498,488.2089808299006,10210.307291666666,10203.81098090278,11717.203199361606
43,0.49520781399951375,630.2538693410747,10244.416666666666,10237.936371527778,6955.049569848853
44,1.2178668433328614,535.115617694803,10265.196614583334,10244.730944511217,16198.931240596934
45,0.49679216300016077,711.375796762975,10412.647135416666,10386.632769097223,3390.1065740127174
46,0.8132655420001053,620.1179992116726,10438.39453125,10409.489095052084,10777.476866903733
47,11.601222200333723,781.2465821192988,10592.377604166666,10526.820258744267,1332.019353663084
48,0.8321514983338906,568.1312607665081,10485.106770833334,10456.786024305555,10496.672736011229
49,2.3777373633335324,731.0364200728699,10889.89453125,10735.79437934028,7165.385533332413
50,1.341469195666529,735.5224531475642,10705.635416666666,10650.93840561565,5035.560746657819
51,2.8574924523327354,726.1399778432487,10898.932291666666,10747.14355323356,1924.7315921099173
52,0.38104475099983875,437.77246051604317,10642.71484375,10596.268880208334,10204.355903321572
53,0.6712832939999013,602.3309794047667,10650.145833333334,10627.23828125,8756.419180194256
54,0.6263959706660293,458.38069185699555,10602.888020833334,10564.260230654761,9728.323999029182
55,0.3751808243335593,430.06695050842853,10536.584635416666,10520.2470703125,10364.368241158356
56,0.6517143156658373,538.4366588983277,10705.1484375,10673.595238095239,13318.291218637694
57,5.2400616793323325,762.9790347429102,10871.305989583334,10786.507910882212,1507.7304168926592
58,3.6906933460001405,769.0054355159456,10730.4296875,10711.940700812089,2047.5004505422705
59,2.966487985332909,761.9393420945747,10733.341145833334,10712.254885942508,2675.22506975219
60,0.6354776873334534,582.8541872505629,10711.502604166666,10696.48325892857,13691.500141126651
61,1.1349546189994726,688.1749476483546,10676.670572916666,10613.056522253788,11791.45172454886
62,0.5172587310001594,699.0420209520862,10465.057291666666,10427.043706597222,3151.5976622228045
63,0.6595323020004192,605.499938409656,10391.001302083334,10369.853422619048,8967.872411350603
64,8.19521826400099,695.2959381645256,10591.8125,10462.180883232606,4612.065722951737
65,2.0327483943328843,669.703482476195,10872.05859375,10573.806775041414,5118.423934016271
66,1.4911898160007695,646.9381685421978,10313.3359375,10146.487196545286,4254.248206285146
67,10.124104449666143,657.9058643923636,10697.173177083334,10256.43139563267,625.9338876898067
68,0.8375343003329666,586.4477197301925,9038.950520833334,8712.201920572918,12420.757065011045
69,0.530890018667075,415.34632131686936,8465.31640625,8405.22699652778,7106.530233962567
70,1.7861525139996957,604.0261328987591,9071.970052083334,8920.673879415046,4015.843171981964
71,0.5836995259996911,584.6387088800237,8851.6796875,8796.746744791666,14458.274249142356
72,1043.9964983710004,771.6696546060983,8877.342447916666,8153.714628205676,81.62913179186761
73,0.41641993699947005,579.5064074455032,7695.817708333333,7656.516145833334,12040.894078459978
74,5.4119619976675795,765.8500242021245,7958.84375,7904.146967103756,1925.5791891932533
75,3.8452805886663555,727.8020805783422,8307.618489583334,8187.203653586053,6453.908684252212
76,0.6018516110004081,597.4476792485642,8269.544270833334,8246.486731150793,14245.751242711078
77,0.7837664790004055,584.745117840233,8208.432291666666,8181.9445710358805,12450.452539933676
78,6.641481324333047,766.5448244151385,9324.1875,9087.273683168112,2466.537223788211
79,0.7322719143333719,621.8051619666676,8612.69921875,8422.349446614584,11643.497463687001
80,3.260405498667145,760.1381250070832,8839.16796875,8747.248998291447,5341.388471359704
81,0.3188067390001379,460.3312772115518,8456.829427083334,8401.603081597224,3692.2646465748203
82,1.8331369853331125,539.4796831784765,8269.546875,8226.01119779509,10130.563408454556
83,0.33270979133340006,639.1890347331282,8229.286458333334,8213.0986328125,3376.612786252757
84,0.08925409400035278,355.2814902128423,8153.6015625,8153.6015625,6076.70064827349
85,0.45255095166673226,436.2266580635292,8167.5546875,8128.565625,6986.411876374543
86,0.2047427380002773,604.0350754480335,8225.057291666666,8209.694010416666,5614.014264055397
87,0.937156278666104,573.7202191543192,8228.864583333334,8141.823683449074,4736.856690983637
88,1.7054208343336843,765.26020069469,8034.444010416667,7933.124982979302,13613.585209895697
89,0.760553809999692,654.7951596012031,7820.032552083333,7763.8447265625,7603.369466670344
90,0.1344572280001254,510.7331923281192,7856.092447916667,7846.199869791667,13560.468010303293
91,0.1692263009990711,325.1606480918822,7849.015625,7845.390625,3797.707493772385
92,0.1672290743335907,365.25946753187685,7898.203125,7889.301432291667,12446.786367496048
93,1.141447136998977,708.8237218324942,8372.807291666666,8307.555555555555,6621.823451207376
94,0.26405199133296264,435.388329525081,8317.322916666666,8304.771701388889,12170.917817116773
95,1.725112759667051,717.6563256589521,8583.536458333334,8526.200878267975,3082.952065065241
96,0.28150925733340654,437.0783471140464,8503.89453125,8467.032552083334,10427.264559331385
97,0.7324296866669707,606.2011215036837,8620.209635416666,8536.73193359375,7327.227501998183
98,0.8379629139999452,671.250695884988,8601.739583333334,8561.143229166666,5476.266711322372
99,1.016987233000691,605.119998318663,8630.055989583334,8610.961588541666,2718.186573107343
