Query,Latency (s),CPU Usage (%),Peak Memory Usage (MB),Average Memory Usage (MB),IOPS (ops/s),Roaring Bitmap Size (MB),Original Columns Size (MB),Bitmap Creation Time (s)
1,0.30099366535432637,1277.0990533521629,29734.59375,29306.748046875,4408.267126961545,35.81623077392578,6636.032669067383,98.31609623800614
3,1.6080915209895466,207.70078215180516,15791.05078125,15009.005642361111,910.8880389666905,165.76126861572266,666.5134124755859,374.8314712710271
4,0.15803395764669403,1128.9559067555028,5209.79296875,4779.424479166667,7352.402297681919,39.99542999267578,1029.7582397460938,144.18458076301613
6,0.48799187933521654,15.771980420012667,2302.84375,2291.3828125,359.5559673534843,325.5429382324219,13272.06411743164,598.2396152779984
10,0.6168717166680532,579.0242576530634,11869.96484375,11076.202473958334,1263.1532169579405,54.321922302246094,3432.457618713379,155.9113586950116
12,6.836147301675131,100.53024612737765,6320.7578125,6258.8359375,21.771721170877115,329.1073818206787,4993.402852058411,126.25710225498187
22,2.946739124987895,109.65708276667398,3743.75390625,3597.4830729166665,92.19199525611732,195.45655822753906,240.32666015625,33.943903111008694
