Query,Latency (s),CPU Usage (%),Peak Memory Usage (MB),Average Memory Usage (MB),IOPS (ops/s),Roaring Bitmap Size (MB),Original Columns Size (MB),Bitmap Creation Time (s)
1,0.10828385035468575,1511.4735469305915,28562.890625,28560.438802083332,129.29031410958083,35.81623077392578,6636.032669067383,98.31609623800614
3,1.4830803856408845,155.54531989386192,14243.578125,14235.173177083334,26.075665390958026,165.76126861572266,666.5134124755859,374.8314712710271
4,0.10490896664365816,801.0770818874926,4271.9375,4250.31640625,190.5031341685016,39.99542999267578,1029.7582397460938,144.18458076301613
6,0.4138593206783601,,2243.46484375,2243.46484375,33.84111655374337,325.5429382324219,13272.06411743164,598.2396152779984
10,0.8289377360100237,242.48247898272848,10652.35546875,10409.283203125,30.560654949484466,54.321922302246094,3432.457618713379,155.9113586950116
12,6.831351972670139,100.26893035426194,6145.7109375,6137.877604166667,10.883251090738225,329.1073818206787,4993.402852058411,126.25710225498187
22,2.917996754995935,99.72595051785964,3402.66015625,3402.53515625,16.84923374584655,195.45655822753906,240.32666015625,33.943903111008694
