Query,Latency (s),CPU Usage (%),Peak Memory Usage (MB),Average Memory Usage (MB),IOPS (ops/s),KD Tree Size (MB),Original Column Size (MB),KD Tree Creation Time (s)
6,0.07672500966721903,99.79130717968964,1677.51953125,1657.2278645833333,905.2830156855906,778.3558731079102,183.18685913085938,802.4011052260003
19,0.14075854800042484,149.3513081295293,1755.40234375,1732.6067708333333,1184.7626270371793,1556.7117004394531,3607.33402633667,1037.5472675759993
